spam,Autenticación de Skype: tu código es 874650. Sólo útil por 5 min.
scam,"[Banorte]: 55,250 puntos vencen ma}ana. Canjealos aqui: https://bxesrnt.bza-krsa.xyz/VIP"
scam,Bitfinex: Gana 20% diario con nuestro nuevo plan  https://bitfinex-crypto.io
spam,Office Depot: compra tu laptop a MSI y recibe mochila gratis.
scam,Banorte: Tiene puntos próximos a expirar banorte-premios.org
scam,Hemos congelado tu tarjeta Banamex por actividad sospechosa. Actívala en https://banamex-cuenta.mx/secure
scam,Apple: Tu ID fue bloqueado por seguridad. Restaura aquí https://appleid-restore.mx/account
scam,"Banorte: Reclame su saldo de $2,300 disponible  https://bnorte-bonus.claims.co"
scam,Walmart: Tu orden no pudo procesarse. Completa aquí https://walmart-check.mx/order
scam,"Ultimo recordatorio NORTE:
Tus (11666) ptos caducaran pronto. Puedes canjearlos por regalos.
Detalles: https://bit.ly/4prMhCc"
spam,PRESIDENTE ANUNCIA NUEVO PLAN SOCIAL/ARTISTA MEXICANO HOSPITALIZADO/CAOS VIAL EN SANTA FE
scam,BanCoppel: Usted tiene un reembolso pendiente  https://coppel-premio-urgente.mx
scam,DHL: Tu paquete está retenido por falta de pago de aduana. Regulariza en https://dhl-entregas.mx/id8372
scam,Amazon: detectamos devolución sospechosa en tu cuenta https://amazon-check.mx/refund
scam,HSBC: Tu banca móvil será bloqueada. Valida datos https://hsbc-validacion.mx/login
scam,"BanomMex te informa: Tus punos estan por vencer el 25 de julio. Canjealos aqui!

Enlace: https://shorten.tv/Fj9nc"
scam,Binance: Inicie sesión hoy y reciba $100 gratis en BTC  https://bnz-tradeairdrop.com
spam,Spotify Premium: 3 meses gratis si te suscribes antes del 30sep25.
spam,NUEVO IMPUESTO A IMPORTACIONES/PROTESTAS EN REFORMA/FIGURA DEL ESPECTÁCULO ES DETENIDA
scam,Hemos suspendido tu acceso a Facebook por violar normas. Reclámalo https://facebook-verify.mx/login
spam,¡En Coppel la fiesta es contigo! 20% de descuento en línea blanca solo este sábado y domingo.
spam,SHEINBAUM HABLA SOBRE SOBERANÍA/CRÍTICAS A NUEVO AEROPUERTO/ESCÁNDALO EN TV NACIONAL
scam,Estimado usuario: Su cuenta tiene saldo de recompensa $950. Retírelo  https://premio-validar.com.mx
scam,Spotify: Error en tu método de pago. Actualiza tus datos en sp0tify-check.co
scam,"[Scotiabank]: 5,200 puntos están a punto de caducar. Ingrese aquí  https://sco-mx.banca-verif.site"
scam,"Hola, soy Gabriela de Recursos Humanos. Trabajo remoto, medio tiempo. ¿Te interesa?"
scam,"Quieres Internet Ilimitado? Con Paquetes Internet por Tiempo navega 2 horas ilimitadas por solo $15, compralo aqui: padnet.telcel.com/cc/2hrsy"
spam,Bienvenido a Santander Plus. Activa hoy tu tarjeta y recibe $200 de bonificación en tu primera compra.
spam,SHEINBAUM DEFIENDE SOBERANIA Y LANZA ADVERTENCIA EN DESFILE/VIVA JOSEFA ORTIZ DE PINEDO: SE EQUIVOCAN EN GRITO/MUERE ROBERT REDFORD: ESTO SE SABE
spam,¡Entra a Despegar.com y consigue tu viaje todo incluido a Huatulco!
spam,Tu código de verificación de MercadoLibre es 739402
spam,"Protege a tu familia con MetLife México, planes accesibles para todos."
spam,G-928475: código de seguridad de Gmail. Verifica ahora.
spam,UVM: estudia tu maestría en línea con beca del 30%.
spam,Gold’s Gym: descuento del 30% en mensualidades hasta fin de mes.
spam,NUEVA PROTESTA EN EL ZÓCALO/CHOQUE DE TRENES EN HIDALGO/EMPRESA DE MODA EN LA MIRA POR FRAUDE
scam,Tu cuenta de Amazon Prime será cancelada mañana. Confirma aquí https://amazon-renovacion-prime.xyz/mx
scam,Estimado cliente Telcel: recibiste un bono por $500. Reclámalo ya en https://bono-telcel.mx/reward
spam,"*Hola,  :* 

Prepárate para tu vuelo VB1392 ✈️ desde la Ciudad de México (AICM) a Guadalajara.

Si necesitas documentar equipaje, dirígete a:

*🟢 Puerta 5* para ahorrar tiempo usando los quioscos de autodocumentación.
*🟢 Puerta 6* si prefieres asistencia en mostradores tradicionales.

Si no necesitas documentar equipaje, ve directo al filtro de seguridad.

¡Nos vemos a bordo!"
spam,¡Tu oportunidad está aquí! Planet Fitness te da $0 en inscripción solo hoy.
spam,Afíliate a Club Vips y disfruta un café gratis en tu próxima visita. Texto STOP para cancelar.
spam,¡Ven a Anytime Fitness! Acceso las 24 horas y promo especial de $399 al mes.
spam,Gracias por registrarte en Cinemex Fan. Recibe palomitas gratis con tu primera compra en app.
spam,Introduce el código 657319 en el sitio de Apple para validar tu cuenta.
spam,Interjet: vuelos redondos con hasta 12 MSI en septiembre.
spam,"*¡Las palomitas se están enfriando sin ti!* 🍿

Prime Video te extraña, pero aquí seguimos con mucho contenido nuevo esperándote.

Con tu suscripción, disfruta de:

- Nuevas temporadas de tus series favoritas 📺
- Películas para todos los gustos 🎬
- Deportes en vivo con toda la emoción del momento ⚽ 🏀

Vuelve al drama, la comedia, el suspenso y la emoción del deporte en vivo 💙

Si ya no deseas recibir mensajes, responde con la palabra ALTO."
spam,Tu codigo de verificacion de LinkedIn es 285160.
scam,Recibiste una multa de tránsito pendiente. Descárgala aquí https://multas-gobmx.org/check
scam,"Banamex: Tus (11,200) puntos caducan mañana. Reclámalos ya."
spam,"¡Hola, ! 🧡

Sabemos que sigues descubriendo Rappi, por eso preparamos unos tips 😎 que te ayudarán a ahorrar y tener una gran experiencia en nuestra app.

Aprende más de Rappi y recibe una recompensa al final 🤑  
¿Quieres saber de qué se trata🎁?"
spam,NUEVA MARCHA EN DEFENSA DEL AGUA/INCREMENTAN PRECIOS DE PASAJES/CRÍTICAS A NUEVO FILME DE NETFLIX
scam,"[Citibanamex]: Tus 9,110 puntos caducan esta noche. Reclama tu premio  https://citibanamex-vip.co/mx"
scam,"¡Hola ! Te escribimos de Rappi 🧡 Para que conozcas todo lo nuevo en la app y disfrutes de este mes sin pagar de más, queremos darte una sorpresa 🤑 ¿Quieres saber de qué se trata🎁?"
spam,137347-Código de verificación de Huawei.
scam,Rappi: 50% en tus favoritos de Potzollcalli Santa Fe. ¿A poco vas a dejar pasar esta promo? Aplican T&C https://rappi.app.link/pozole
spam,Usted tiene: 1 llamada perdida del numero 5524879201. el dia 2025.07.07 a las 12:50
scam,Último aviso: tu tarjeta American Express será cancelada. Confirma https://amex-seguro.mx/restore
scam,Seguridad Banamex: Tu tarjeta digital fue usada en Uber. Cancela https://banamex-alerta.mx/id
spam,Usted tiene: 1 llamada perdida del número 5547291830. El día 2025.07.10 a las 18:42
scam,Microsoft: Su suscripción Office 365 no se pudo renovar.
scam,"NetfIix: iTu suscripcion esta suspendida por un error de pago!
Actualiza tu metodo de pago antes del 25/07 aqui: mynfiix-resub.com"
spam,EMPRESA ANUNCIA CIERRE DE PLANTA/ALUMNOS PROTESTAN POR FALTA DE APOYO/FIGURA POLÍTICA GENERA POLÉMICA
spam,Usted tiene: 5 llamadas perdidas del número 5529103746. El día 2025.07.14 a las 11:09
scam,"Hola, empresa internacional busca personal remoto. Pago diario $1000."
spam,¿Quieres ganar boletos para apoyar a Checo?
